subject,block_id,t_start_sec,t_end_sec,stage,clean_channels
EPCTL04,W_3,6180.00,6480.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,W_4,6780.00,7140.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_5,7380.00,7710.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N3_6,7890.00,8460.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_7,8460.00,8880.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N3_8,8880.00,9690.00,N3,"Fp1,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_9,9870.00,10410.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_10,10530.00,11040.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N3_11,11040.00,11400.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL04,N2_12,11400.00,11790.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
