subject,block_id,t_start_sec,t_end_sec,stage,clean_channels
EPCTL20,N2_20,19410.00,19740.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N3_21,19920.00,20250.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_22,20520.00,20940.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,R_23,20940.00,21270.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,R_24,21360.00,21750.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_25,22230.00,22620.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_26,22650.00,23400.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_27,23490.00,23940.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_28,24630.00,25410.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,R_29,26400.00,27480.00,R,"Fp1,Fp2,F3,F4,C3,C4,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,W_0,630.00,1110.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_1,1560.00,1920.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N3_2,2190.00,3270.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_3,3360.00,3660.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_4,4620.00,5250.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,R_5,6090.00,6540.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N1_6,6540.00,6870.00,N1,"Fp2,F3,F4,C3,C4,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_7,7710.00,8190.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N3_8,8190.00,10740.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_9,10740.00,11850.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,R_10,12420.00,12900.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,R_11,12990.00,13350.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_12,13500.00,14220.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_13,14460.00,15630.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_14,15660.00,16350.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_15,16380.00,17100.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_16,17580.00,17940.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,R_17,18420.00,18750.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,R_18,18780.00,19620.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_19,20610.00,21000.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_20,21240.00,21900.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_21,21930.00,23010.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_22,23160.00,23880.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,N2_23,23940.00,24300.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,R_24,25470.00,26040.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL22,W_25,26040.00,26610.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
